participant	condition	fac_1	fac_2	rating	item	context	f1_BAD_0auch_m	f2_BAD_1auch_f	f3_bad_0auch_f	f4_bad_1auch_m	f5_GOOD_1auch_f	f6_GOOD_1auch_m	f7_GOOD_0auch_m	f8_GOOD_1auch_f	f9_good_1auch_f	f10_good_1auch_m	f11_good_0auch_f	f12_good_1auch_m	f13_good_0auch_f	f14_good_1auch_m	f15_good_0auch_m	f16_good_1auch_f
75	cd1_ass_+n	ass	+n	1	17_cd1_ct05	ct05	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd1_ass_+n	ass	+n	5	53_cd1_ct14	ct14	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd2_ass_-n	ass	-n	1	10_cd2_ct03	ct03	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd2_ass_-n	ass	-n	2	46_cd2_ct12	ct12	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd3_com_+n	com	+n	6	3_cd3_ct01	ct01	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd3_com_+n	com	+n	1	39_cd3_ct10	ct10	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd4_com_-n	com	-n	6	32_cd4_ct08	ct08	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
75	cd4_com_-n	com	-n	6	60_cd4_ct15	ct15	1	1	5	5	6	6	5	6	6	5	6	5	6	6	1	1
79	cd1_ass_+n	ass	+n	5	5_cd1_ct02	ct02	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd1_ass_+n	ass	+n	5	33_cd1_ct09	ct09	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd2_ass_-n	ass	-n	1	26_cd2_ct07	ct07	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd2_ass_-n	ass	-n	4	62_cd2_ct16	ct16	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd3_com_+n	com	+n	5	19_cd3_ct05	ct05	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd3_com_+n	com	+n	3	55_cd3_ct14	ct14	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd4_com_-n	com	-n	6	12_cd4_ct03	ct03	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
79	cd4_com_-n	com	-n	6	48_cd4_ct12	ct12	1	1	1	1	6	6	5	6	1	6	6	5	6	6	3	3
80	cd1_ass_+n	ass	+n	1	17_cd1_ct05	ct05	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd1_ass_+n	ass	+n	1	53_cd1_ct14	ct14	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd2_ass_-n	ass	-n	1	10_cd2_ct03	ct03	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd2_ass_-n	ass	-n	1	46_cd2_ct12	ct12	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd3_com_+n	com	+n	6	3_cd3_ct01	ct01	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd3_com_+n	com	+n	6	39_cd3_ct10	ct10	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd4_com_-n	com	-n	6	32_cd4_ct08	ct08	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
80	cd4_com_-n	com	-n	3	60_cd4_ct15	ct15	1	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6
82	cd1_ass_+n	ass	+n	1	5_cd1_ct02	ct02	1	1	1	1	6	6	5	6	6	6	6	6	6	6	6	6
